mut_types,mut_layer_name,mut_result
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.6,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.0,True
NAI,classifier.3,True
NAI,classifier.3,True
