mut_types,mut_layer_name,mut_result
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.17,True
RA,base.relu,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.8,True
RA,base.relu,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.11,True
RA,base.vgg_base.layers.6,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.13,True
RA,base.relu,True
RA,base.vgg_base.layers.13,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.22,True
RA,base.vgg_base.layers.8,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.3,True
RA,base.vgg_base.layers.15,True
RA,base.relu,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.17,True
RA,base.vgg_base.layers.1,True
RA,base.vgg_base.layers.15,True
RA,base.vgg_base.layers.3,True
RA,base.relu,True
RA,base.vgg_base.layers.20,True
RA,base.vgg_base.layers.6,True
